city_name,country_code,latitude,longitude,temp,humidity,cloudiness,wind_speed
iquitos,pe,-2.76001,-72.01114,79.64,73,81,3.02
mar del plata,ar,-52.99522,-39.00594,36.26,97,100,30.89
longyearbyen,sj,89.86783,18.96871,33.2,89,100,5.66
noumea,nc,-25.79577,164.02236,63.98,71,96,8.72
klaksvik,fo,70.51888,-0.93546,48.86,97,99,10.69
atuona,pf,-9.88537,-126.26553,76.76,81,90,17.81
qaanaaq,gl,81.05064,-92.98488,33.92,79,89,12.35
umm kaddadah,sd,15.21768,26.51165,84.5,42,59,3.33
bluff,nz,-83.70529,156.23736,-40.24,80,10,15.05
tunduru,tz,-12.28419,37.10762,72.8,60,66,6.15
torbay,ca,39.26307,-48.73846,79.1,83,0,6.42
tuktoyaktuk,ca,87.92139,-138.73899,32.12,86,93,7.56
ribeira grande,pt,29.46052,-44.92056,80.0,62,0,2.26
nizhneyansk,ru,74.34853,139.10787,38.42,92,100,14.65
henties bay,na,-20.67472,10.95983,65.6,74,0,11.88
bubaque,gw,7.84245,-17.45295,78.56,85,92,14.36
tsihombe,mg,-51.32916,49.98194,33.74,71,67,27.51
nanortalik,gl,58.25873,-41.5323,47.96,80,55,29.06
maykain,kz,51.58588,75.75623,66.5,53,66,10.29
college,us,67.44419,-150.63737,57.2,54,20,9.17
ngama,td,11.14402,17.12268,71.9,94,99,1.36
drumheller,ca,51.31966,-112.70223,66.58,49,72,5.3
sur,om,19.55377,61.97612,77.48,89,98,23.4
port blair,in,9.91918,89.90007,82.88,79,100,25.64
drayton valley,ca,52.77585,-115.56056,61.82,43,90,8.21
alofi,nu,-20.38158,-167.83132,71.54,67,75,16.17
balagansk,ru,54.17269,103.67016,51.92,98,99,4.23
lolua,tv,-5.66819,174.61409,83.96,77,26,15.08
lom sak,th,16.75617,101.13542,70.46,97,100,1.14
barrow,us,84.29899,-166.85209,27.8,84,100,15.1
orange,au,-33.49006,149.56679,59.49,60,83,3.0
leningradskiy,ru,89.09847,178.42539,32.66,91,100,7.31
svetlogorsk,ru,67.45896,93.38589,49.58,82,100,4.38
lerwick,gb,58.56678,1.2628,60.8,100,65,23.04
rio muerto,mx,27.00186,-110.74751,86.48,70,59,10.16
alice springs,au,-23.75502,132.48785,56.78,37,0,16.78
barentsburg,sj,83.27516,-0.01148,33.56,93,100,11.45
yellowknife,ca,89.98056,-106.71433,33.2,89,100,5.64
airai,pw,13.50961,143.34076,85.4,75,100,13.87
hithadhoo,mv,-15.43224,73.21516,77.66,85,3,6.67
bredasdorp,za,-51.20769,20.17029,31.58,92,100,41.47
lufkin,us,31.14868,-94.07022,83.19,83,40,5.82
vaini,to,-31.33908,-169.36753,59.48,62,90,17.27
ust-kuyga,ru,69.3802,134.92677,54.44,77,89,10.87
nguiu,au,-9.72982,129.42619,76.58,74,60,12.57
dzhusaly,kz,45.25045,64.50937,69.74,24,0,8.28
vagur,fo,60.72286,-6.15414,53.0,90,100,22.48
jamestown,sh,-24.6965,-15.7381,67.94,80,83,23.85
avarua,ck,-59.09012,-164.93295,32.48,62,0,2.17
gladstone,au,-23.89716,150.80033,65.23,72,0,5.82
tuatapere,nz,-54.46025,160.3289,39.68,87,100,27.51
cavalcante,br,-14.63376,-47.44907,70.28,40,27,3.78
odesskoye,ru,53.9702,73.17247,60.56,59,4,10.04
panaba,mx,21.49359,-88.34872,83.42,73,24,11.21
silver city,us,33.52664,-108.25893,76.76,29,3,8.55
victoria,sc,-4.12743,48.60354,78.02,78,29,22.75
gidole,et,4.95881,37.2177,78.2,52,80,13.73
khagaul,in,25.4683,85.06212,82.4,83,40,5.82
la romana,do,17.80383,-69.12018,83.78,81,0,14.34
sao filipe,cv,10.77533,-24.52618,79.64,83,11,17.11
bethel,us,41.72803,-172.6303,62.54,78,83,16.2
aklavik,ca,67.18452,-134.75259,62.18,39,93,8.52
sungaipenuh,id,-2.47984,101.90759,69.2,95,100,1.32
ucluelet,ca,48.81592,-126.97377,59.84,83,0,26.96
busselton,au,-73.59968,76.28685,-29.8,60,100,11.68
belushya guba,ru,79.76963,52.03943,31.22,83,38,9.28
